No,Cruise Name,SEO Filename,Format,Dimensions,Size KB,ALT Text
1,Amanda Luxury Cruise,amanda-luxury-cruise.webp,WebP,1600x900,50.9,Amanda Luxury Cruise overview cruise image
2,Hera Classic Cruise,hera-classic-cruise.webp,WebP,1600x900,58.0,Hera Classic Cruise overview cruise image
3,Le Journey Luxury Cruise,le-journey-luxury-cruise.webp,WebP,1600x900,45.1,Le Journey Luxury Cruise overview cruise image
4,Le Journey Elegance Cruise — 4 Star,le-journey-elegance-cruise-4-star.webp,WebP,1600x900,86.9,Le Journey Elegance Cruise — 4 Star overview cruise image
5,Scarlet Pearl,scarlet-pearl.webp,WebP,1600x900,233.8,Scarlet Pearl overview cruise image
6,Milalux Cruises,milalux-cruises.webp,WebP,1600x900,106.8,Milalux Cruises overview cruise image
7,Cycad Indochine Cruise,cycad-indochine-cruise.webp,WebP,1600x900,140.1,Cycad Indochine Cruise overview cruise image
8,Cycad Grand Cruise,cycad-grand-cruise.webp,WebP,1600x900,93.7,Cycad Grand Cruise overview cruise image
9,Verdure Lotus Classic,verdure-lotus-classic.webp,WebP,1600x900,262.2,Verdure Lotus Classic overview cruise image
10,Verdure Lotus Luxury,verdure-lotus-luxury.webp,WebP,1600x900,92.9,Verdure Lotus Luxury overview cruise image
11,Phoenix Cruise,phoenix-cruise.webp,WebP,1600x900,55.1,Phoenix Cruise overview cruise image
12,Orchid Trendy Cruise,orchid-trendy-cruise.webp,WebP,1600x900,80.0,Orchid Trendy Cruise overview cruise image
13,Orchid Classic Cruise,orchid-classic-cruise.webp,WebP,1600x900,115.5,Orchid Classic Cruise overview cruise image
14,Fantasea Cruise — 3 Star,fantasea-cruise-3-star.webp,WebP,1600x900,71.6,Fantasea Cruise — 3 Star overview cruise image
15,Orchid Premium,orchid-premium.webp,WebP,1600x900,49.8,Orchid Premium overview cruise image
16,Velar of the Sea,velar-of-the-sea.webp,WebP,1600x900,59.0,Velar of the Sea overview cruise image
17,Celina of the Sea,celina-of-the-sea.webp,WebP,1600x900,61.2,Celina of the Sea overview cruise image
18,Sea Coral,sea-coral.webp,WebP,1600x900,66.0,Sea Coral overview cruise image
19,Aqua Legend Cruise,aqua-legend-cruise.webp,WebP,1600x900,68.8,Aqua Legend Cruise overview cruise image
20,Tulip Cruise,tulip-cruise.webp,WebP,1600x900,51.0,Tulip Cruise overview cruise image
21,Catherine Cruise,catherine-cruise.webp,WebP,1600x900,79.3,Catherine Cruise overview cruise image
22,Star Light Cruise,star-light-cruise.webp,WebP,1600x900,53.3,Star Light Cruise overview cruise image
23,La Casta Star,la-casta-star.webp,WebP,1600x900,53.6,La Casta Star overview cruise image
24,Grand Pioneers,grand-pioneers.webp,WebP,1600x900,54.8,Grand Pioneers overview cruise image
25,Ruby Cruise,ruby-cruise.webp,WebP,1600x900,62.2,Ruby Cruise overview cruise image
26,La Pandora,la-pandora.webp,WebP,1600x900,60.6,La Pandora overview cruise image
27,Athena Cruise,athena-cruise.webp,WebP,1600x900,232.2,Athena Cruise overview cruise image
28,Signature Cruise — Bai Tu Long,signature-cruise-bai-tu-long.webp,WebP,1600x900,181.3,Signature Cruise — Bai Tu Long overview cruise image
